list_name,name,label::English,label::REACH
c6_list,4,4,house/property damaged or destroyed due to violence and armed conflict
c6_list,5,5,evacuated/displaced/relocated by authorities for protection             
c6_list,6,6,evicted from property          
c6_list,7,7,lack of access to basic services (education or health care)
c6_list,8,8,"lack of access to basic commodities (food, water, fuel)   "
c6_list,9,9,lack of employment/livelihood options                      
c6_list,10,10,natural disaster (e.g. flooding)
c6_list,11,11,i don’t know
c6_list,12,12,i don’t want to answer
c7_list,1,1,arrest
c7_list,2,2,detention
c7_list,3,3,harassment
c7_list,4,4,confiscation of id
c7_list,5,5,confiscation of assets
c7_list,6,6,asked for bribery to avoid arrest/detention
c7_list,7,7,movement restriction
c7_list,8,8,deportation
c7_list,9,9,none
c7_list,10,10,i don’t know
c7_list,11,11,i don’t want to answer
c8_list,1,1,assistance_nondisplaced
c8_list,2,2,accomodation_nondisplaced
c8_list,3,3,basic_services_nondisplaced
c8_list,4,4,livelihoods_nondisplaced
c8_list,5,5,secuirty_nondisplaced
c8_list,6,6,family_nondisplaced
c8_list,8,8,dnk_nondisplaced
c8_list,9,9,refuse_nondisplaced
c8_list,1,1,assistance_idps
c8_list,2,2,accomodation_idps
c8_list,3,3,basic_services_idps
c8_list,4,4,livelihoods_idps
c8_list,5,5,secuirty_idps
c8_list,6,6,family_idps
c8_list,7,7,transit_idps
c8_list,8,8,dnk_idps
c8_list,9,9,refuse_idps
c8_list,1,1,assistance_returnees
c8_list,2,2,accomodation_returnees
c8_list,3,3,basic_services_returnees
c8_list,4,4,livelihoods_returnees
c8_list,5,5,secuirty_returnees
c8_list,6,6,family_returnees
c8_list,8,8,dnk_returnees
c8_list,9,9,refuse_returnees
c8_list,1,1,assistance_refugees
c8_list,2,2,accomodation_refugees
c8_list,3,3,basic_services_refugees
c8_list,4,4,livelihoods_refugees
c8_list,5,5,secuirty_refugees
c8_list,6,6,family_refugees
c8_list,7,7,transit_refugees
c8_list,8,8,dnk_refugees
c8_list,9,9,refuse_refugees
c8_list,1,1,assistance_nondisplaced
c8_list,2,2,accomodation_nondisplaced
c8_list,3,3,basic_services_nondisplaced
c8_list,4,4,livelihoods_nondisplaced
c8_list,5,5,secuirty_nondisplaced
c8_list,6,6,family_nondisplaced
c8_list,7,7,transit_nondisplaced
c8_list,8,8,dnk_nondisplaced
c8_list,9,9,refuse_nondisplaced
c9_10_list,1,1,"remain here, voluntarily"
c9_10_list,2,2,"remain here, involuntarily (there is no alternative)"
c9_10_list,3,3,move to another location within yemen
c9_10_list,4,4,return to your place of origin
c9_10_list,5,5,move to another country (for migrants and refugees)
c9_10_list,6,6,depends on situation
c9_10_list,7,7,i don’t know
c9_10_list,8,8,i don’t want to answer
d1_list,1,1,food
d1_list,2,2,drinking water
d1_list,3,3,sanitation (e.g. latrines)
d1_list,4,4,hygiene items (e.g. soap)
d1_list,5,5,healthcare/medication
d1_list,6,6,livelihoods / job opportunities
d1_list,7,7,cash assistance
d1_list,8,8,winterization cash grant
d1_list,9,9,education for children
d1_list,10,10,education for adults
d1_list,11,11,shelter/housing / cash grants to rehabilitate damaged houses / maintenance support
d1_list,12,12,"household nfis (mattresses, blankets, mosquito nets, etc)"
d1_list,13,13,cooking stove and fuel
d1_list,14,14,emergency shelter kit
d1_list,15,15,"protection support services (legal assistance, psychological support, protection of children, protection against violence)"
d1_list,16,16,documentation
d1_list,17,17,safe and dignified return to country of origin (only for refugee and migrants)
d1_list,18,18,i don’t know
d1_list,19,19,i don’t want to answer
d2_list,1,1,"any member of the hh own electronic gadget (radio, phone, tv)"
d2_list,2,2,"any member of the hh has a functional means of transport (motorcycle, car, bicycle)"
d2_list,3,3,at least one member of the hh has vocational / apprenticeship / professional skills
d2_list,4,4,"at least one member of the hh has formal employment, is self-employed or has a business"
d2_list,5,5,at least one member of the hh has access to savings
d2_list,6,6,hh has access to land for agriculture
d2_list,7,7,none of the above statements apply to the household
e12_list,1,1,no shelter (not residing inside a site and/or housing structure)
e12_list,2,2,"makeshift shelter – typically built from waste and temporary materials (tarpaulins, cardboard, blankets, metal sheeting, tarps, etc.);"
e12_list,3,3,emergency shelter – a portable shelter with a cover and a structure;
e12_list,4,4,house or apartment
e12_list,5,5,"public building (school, station, religious buildings, etc.)"
e12_list,6,6,hotel
e12_list,7,7,transitional shelter
e13_list,1,1,"finished building – a building which is completed (with walls and roof) and composite of all building components (windows, doors, plumbing, etc.)"
e13_list,2,2,"unfinished building – a building which has more than its frame, but is still missing elements (i.e. doors, windows, lighting, plumbing, walls, etc.);"
e13_list,3,3,"skeleton – a building which has a solid frame (concrete, steel, etc.) but no other elements;"
e14_list,1,1,fully destroyed (housing unit is totally in rubble or where at least 50% of the structure of the shelter has incurred severe damage and cannot be repaired)
e14_list,2,2,partial damage (housing unit where the skeleton incurred damages but part of the shelter is still livable and can be repaired)
e14_list,3,3,minor damage (housing unit incurred small damages while the house is still adequate for living i.e. bullet hole in the wall or broken window)
e14_list,4,4,no damage to the shelter
e2_list,1,1,"yes, we live in rental accommodation and capable of making the payment"
e2_list,2,2,"yes, but barely"
e2_list,3,3,"no, because we are not able to make the rental payment"
e2_list,4,4,"no, we own the shelter"
e2_list,5,5,"no, but we work in exchange for shelter"
e2_list,6,6,i don’t know
e2_list,7,7,i don’t want to answer
e3_list,1,1,yes
e3_list,2,2,no
e3_list,3,3,i don’t know
e3_list,4,4,i don’t want to answer
e4_list,1,1,"access to functional kitchen (all basic equipment required for cooking is available such as kitchen set, cooking stove and fuel)"
e4_list,2,2,"access to functional toilet (availability of functional toilet, with doors, locks, water, disposal facilities and hygiene items)"
e4_list,3,3,access to adequate water (access to clean and fresh water for drinking or bathing provided in a suitable manner and in sufficient volume)
e4_list,4,4,appropriate lighting
e4_list,5,5,adequate floor space
e4_list,6,6,adequate number or rooms
e4_list,7,7,adequate protection against climatic factors
e4_list,8,8,none
e5_list,1,1,"external/infrastructure damage (walls, windows, ceiling, etc.)"
e5_list,2,2,"internal damage (lighting, furniture, etc.)"
e5_list,3,3,"no, there is no damage to our shelter/household"
e6_list,1,1,"yes, our household has access to available and affordable materials and maintenance items in the market to repair the damage"
e6_list,2,2,"no, our household has access to available materials in the market but cannot afford them in order to repair the damage"
e6_list,3,3,"no, our household has no access to materials to repair the damage because they are not available in the market"
e6_list,4,4,"no, our household has access to available and affordable materials in the market but no capacity to repair the damage"
e6_list,5,5,"no, our household has neither access to available nor affordable materials to repair the damage"
e6_list,6,6,i do not know
e7_list,1,1,damange_idp
e7_list,2,2,looting_idp
e7_list,3,3,occupied_idp
e7_list,4,4,dispute_idp
e7_list,5,5,rental_idp
e7_list,6,6,documents_idp
e7_list,7,7,noaccess_idp
e7_list,8,8,eviction_idp
e7_list,9,9,dnk_idp
e7_list,10,10,refuse_idp
e7_list,11,11,none_idp
e8_list,1,1,"yes, they are both available and affordable"
e8_list,2,2,"yes, they are available but not affordable"
e8_list,3,3,"yes, they are affordable but not always available"
e8_list,4,4,"no, they are not affordable not available in the local market"
e9_list,1,1,yes_directly_idps
e9_list,2,2,yes_representation_idps
e9_list,3,3,no_idps
e10_list,1,1,local_integration_idps
e10_list,2,2,resettlement_idps
e10_list,3,3,assisted_return_idps
e10_list,4,4,voluntary_idps
e10_list,5,5,voluntary_humanitarian_idps
e10_list,6,6,none_idps
e10_list,7,7,dnk_idps
e10_list,8,8,refuse_idps
e10_list,1,1,local_integration_refugees
e10_list,2,2,resettlement_refugees
e10_list,3,3,assisted_return_refugees
e10_list,4,4,voluntary_refugees
e10_list,5,5,voluntary_humanitarian_refugees
e10_list,6,6,none_refugees
e10_list,7,7,dnk_refugees
e10_list,8,8,refuse_refugees
e10_list,1,1,local_integration_migrants
e10_list,2,2,resettlement_migrants
e10_list,3,3,assisted_return_migrants
e10_list,4,4,voluntary_migrants
e10_list,5,5,voluntary_humanitarian_migrants
e10_list,6,6,none_migrants
e10_list,7,7,dnk_migrants
e10_list,8,8,refuse_migrants
f11_list,1,1,borehole
f11_list,2,2,protected well
f11_list,3,3,unprotected well
f11_list,4,4,protected rainwater tank
f11_list,5,5,unprotected rainwater tank
f11_list,6,6,bottled water
f11_list,7,7,protected spring
f11_list,8,8,unprotected spring
f11_list,9,9,"surface water (river, dam, lake, pond, stream, or canal)"
f11_list,10,10,water trucks
f11_list,11,11,other: please specify (……………………………...)
f12_list,1,1,piped water into the house
f12_list,2,2,piped water connected to public tap
f12_list,3,3,illegal connection to piped network
f12_list,4,4,water trucks
f12_list,5,5,hh members carry water into the house
f12_list,6,6,hh members use animals such as donkeys to bring water into the house
f12_list,7,7,other: please specify (……………………………
f13_list,1,1,water source is located at the property
f13_list,2,2,less than 30 minutes
f13_list,3,3,between 30 min and 1 hour
f13_list,4,4,between 1 and 2 hours
f13_list,5,5,more than 2 hours
f13_list,6,6,i do not know
f14_list,1,1,"yes, boil the water"
f14_list,2,2,"yes, use chlorine tablets, powder or liquid"
f14_list,3,3,"yes, use a filter"
f14_list,4,4,"no, there is no need as the water is clean"
f14_list,5,5,"no, we don’t have materials for water purification/treatment"
f14_list,6,6,"no, we don’t know any treatment methods"
f17_list,1,1,plastic tank
f17_list,2,2,metal tank
f17_list,3,3,underground tank
f17_list,4,4,jerry cans
f17_list,5,5,buckets
f17_list,6,6,no containers
f17_list,7,7,"others, specify"
f19_list,1,1,containers are clean and sealed/ covered
f19_list,2,2,containers are clean but not sealed/ covered
f19_list,3,3,containers are dirty but sealed/ covered
f19_list,4,4,"containers are dirty, but not sealed/ covered"
f19_list,5,5,no containers present
f110_list,1,1,water is not clean
f110_list,2,2,distance too far
f110_list,3,3,water is not enough
f110_list,4,4,prices are too high
f110_list,5,5,no problems
f110_list,6,6,"other, specify"
f22_list,1,1,soap only
f22_list,2,2,water only
f22_list,3,3,both soap and water
f22_list,4,4,no water and soap
f23_list,1,1,bar of soap
f23_list,2,2,plastic jerry can/bucket
f23_list,3,3,sanitary pads
f23_list,4,4,baby diapers
f23_list,5,5,washing powder
f23_list,6,6,toothpaste
f23_list,7,7,toothbrush/miswak
f23_list,8,8,shampoo
f23_list,9,9,water treatment/purification tablets
f23_list,10,10,none
f24_list,1,1,when hands are dirty
f24_list,2,2,when performing ablution
f24_list,3,3,before eating
f24_list,4,4,after eating
f24_list,5,5,after disposing of baby’s diapers
f24_list,6,6,before feeding a baby
f24_list,7,7,after defecating
f24_list,8,8,before preparing food
f24_list,9,9,we never wash our hands
f25_list,1,1,garbage is left on the street by household and collected through public system
f25_list,2,2,garbage is left in containers on the street by household and collected through public system
f25_list,3,3,garbage is left in piles in public areas and is not collected
f25_list,4,4,garbage is buried or burned
f26_list,1,1,once a week
f26_list,2,2,more than once a week
f26_list,3,3,once every 2 weeks
f26_list,4,4,once every month
f26_list,5,5,never collected
f311_list,1,1,flush latrine to the open
f311_list,2,2,flush latrine to a tank/sewer system/pit
f311_list,3,3,dry latrine
f311_list,4,4,pit latrine-covered/with slab
f311_list,5,5,pit latrine-open/without slab
f311_list,6,6,in the open
f312_list,1,1,not functional and dirty
f312_list,2,2,functional but dirty
f312_list,3,3,clean and functional
f32_list,1,1,"yes, all members had access"
f32_list,2,2,some members had access
f32_list,3,3,no
f33_list,1,1,there is not enough facilities/too crowded
f33_list,2,2,absence/insufficiency of water
f33_list,3,3,latrines are unclean/unhygienic
f33_list,4,4,lack of privacy/no separation between men and women
f33_list,5,5,"it is not safe (no door, no lock, etc)"
f33_list,6,6,cess pit is full
f33_list,7,7,pipes are blocked
f33_list,8,8,connection to sewage blocked
f33_list,9,9,structure is damaged
f33_list,10,10,others (specify): ……...
f34_list,1,1,"yes, once or twice"
f34_list,2,2,"yes, three – five times"
f34_list,3,3,"yes, there is always visible wastewater in the vicinity of the household"
f34_list,4,4,no
f35_list,1,1,flooding occurs very frequently (at least once a year) and damage is always observed
f35_list,2,2,flooding occurs frequently (3-5 times in the last 5 years) and significant damage is observed
f35_list,3,3,flooding occurs frequently (3-5 times in the last 5 years) and some damage is observed
f35_list,4,4,flooding occurs sometimes (1-2 times in the last 5 years) and damage is always observed
f35_list,5,5,flooding occurs sometimes (1-2 times in the last 5 years) and no damage is observed
f35_list,6,6,almost never
f35_list,7,7,never
g1_list,1,1,yes
g1_list,2,2,no
g1_list,3,3,i don’t know
g1_list,4,4,i don’t want to answer
g21_list,1,1,educational staff salaries are not paid
g21_list,2,2,schools are closed
g21_list,3,3,books are not available
g21_list,4,4,teachers are not available regularly in schools
g21_list,5,5,lack of qualified staff/teachers
g21_list,6,6,lack of seats in school
g21_list,7,7,lack of school supplies
g21_list,8,8,lack of electricity
g21_list,9,9,schools are damaged
g21_list,10,10,classrooms are crowded
g21_list,11,11,school is distant
g21_list,12,12,"lack of documentation for enrolment (previous study certificates, birth certificate, etc)"
g21_list,13,13,lack of female teacher
g21_list,14,14,"other, please specify"
g21_list,15,15,i don’t know
g21_list,16,16,i don’t want to answer
g22_list,1,1,households cannot afford educational expenses
g22_list,2,2,high cost of transportation for children and teachers
g22_list,3,3,children leave schools for work to support their families
g22_list,4,4,"other, please specify"
g22_list,5,5,i don’t know
g22_list,6,6,i don’t want to answer
g23_list,1,1,sickness
g23_list,2,2,having special needs
g23_list,3,3,both sickness and having special needs
g23_list,4,4,school meals are not provided for children and teachers
g23_list,5,5,"lack of water, sanitation and drinking facilities"
g23_list,6,6,lack of facilities for persons with special needs
g23_list,7,7,increase of psychological issues for children and teachers
g23_list,8,8,"other, please specify"
g23_list,9,9,i don’t know
g23_list,10,10,i don’t want to answer
g24_list,1,1,lack of safety and security
g24_list,2,2,lack of gendered facilities
g24_list,3,3,custom and traditions
g24_list,4,4,early marriage (at school age)
g24_list,5,5,"other, please specify"
g24_list,6,6,i don’t know
g24_list,7,7,i don’t want to answer
g3_list,1,1,paying salaries for teachers_non_displaced
g3_list,2,2,providing incentives for teachers_non_displaced
g3_list,3,3,"providing educational materials (books, subjects)_non_displaced"
g3_list,4,4,providing school seats_non_displaced
g3_list,5,5,providing school supplies_non_displaced
g3_list,6,6,providing integrated school bags_non_displaced
g3_list,7,7,providing electricity_non_displaced
g3_list,8,8,restoring and maintaining schools_non_displaced
g3_list,9,9,building classrooms_non_displaced
g3_list,10,10,standardized tests
g3_list,11,11,providing school meals for teachers and children
g3_list,12,12,providing clean drinking water
g3_list,13,13,providing suitable gendered health facilities
g3_list,14,14,providing suitable facilities for persons with special needs
g3_list,15,15,treatment for psychological and educational issues of children
g3_list,16,16,ensuring safety and security of children and teachers
g3_list,17,17,cooperation with community to get children back/into school_non_displaced
g3_list,18,18,providing parent council_non_displaced
g3_list,19,19,early childhood support/development_non_displaced
g3_list,20,20,providing qualitied teachers_non_displaced
g3_list,21,21,providing and supporting female teachers from rural areas_non_displaced
g3_list,22,22,"other, please specify_non_displaced"
g3_list,23,23,i don’t know
g3_list,24,24,i don’t want to answer_non_displaced
g4_list,1,1,"yes, all of them"
g4_list,2,2,some of them attend a lower grade
g4_list,3,3,some of them attend a higher grade
g4_list,4,4,"no, none of them"
g4_list,5,5,i don’t know
g4_list,6,6,i do not want to answer
g5_list,1,1,"yes, very satisfied"
g5_list,2,2,"yes, partially satisfied"
g5_list,3,3,"no, not satisfied"
g5_list,4,4,i do not know
g5_list,5,5,i do not want to answer
g6_list,1,1,lack of schoolbooks
g6_list,2,2,teachers not regularly present in the classroom
g6_list,3,3,"lack of equipment, supplies and textbooks"
g6_list,4,4,classrooms not suitable for learning
g6_list,5,5,wash facilities not available
g7_list,6,6,"other, please specify"
g7_list,7,7,i do not know
g7_list,8,8,i do not want to answer
h1_list,1,1,yes
h1_list,2,2,no
h1_list,3,3,i don’t know
h1_list,4,4,i don’t want to answer
h2_list,1,1,measles
h2_list,2,2,tuberculosis (tb)
h2_list,3,3,acute respiratory infection*
h2_list,4,4,diarrheal disease*
h2_list,5,5,polio (afp)
h2_list,6,6,epilepsy
h2_list,7,7,asthma
h2_list,8,8,malaria
h2_list,9,9,pertussis / whooping cough
h2_list,10,10,diphtheria
h2_list,11,11,hepatitis
h2_list,12,12,hypertension
h2_list,13,13,diabetes
h2_list,14,14,kidney disease
h2_list,15,15,cancer / malignancies
h2_list,16,16,mental illness
h2_list,17,17,typhoid
h2_list,18,18,burns
h2_list,19,19,skin disease (including scabies)
h2_list,20,20,malnutrition
h2_list,21,21,injuries
h2_list,22,22,"physical disabilities (amputees, contractures, limited sight/hearing)"
h2_list,23,23,"complications in pregnancy, childbirth, or post-partum"
h2_list,24,24,other specify
h2_list,25,25,i don’t know
h2_list,26,26,i don’t want to answer
h322_list,1,1,less than 5 years old
h322_list,2,2,5 – 15 years old
h322_list,3,3,16 – 35 years old
h322_list,4,4,36 – 60 years old
h322_list,5,5,more than 60 years old
h4_list,1,1,yes
h4_list,2,2,no
h4_list,3,3,i do not know
h4_list,4,4,i do not want to answer
h5_list,1,1,health unit (provides preventative and basic treatment)
h5_list,2,2,"health centre (provides preventative, diagnostic and curative services)"
h5_list,3,3,hospital
h5_list,4,4,private clinic
h5_list,5,5,community health worker
h5_list,6,6,pharmacy
h5_list,7,7,traditional medicine facility
h5_list,8,8,no facilities accessed
h5_list,9,9,"other, please specify"
h5_list,10,10,i don’t know
h5_list,11,11,i don’t want to answer
h6_list,1,1,less than 30 minutes
h6_list,2,2,30-60 minutes
h6_list,3,3,more than 60 minutes
h6_list,4,4,i don’t know
h7_list,1,1,general services
h7_list,2,2,trauma care
h7_list,3,3,immunization services
h7_list,4,4,integrated management of child illnesses (imci)
h7_list,5,5,"communicable disease services (tuberculosis, malaria, dengue, cholera, etc"
h7_list,6,6,"non-communicable disease services (diabetes, high blood pressure, asthma, epilepsy, mental illness, etc"
h7_list,7,7,mental health services
h7_list,8,8,"reproductive health services (antenatal, deliveries, family planning, post-natal, etc"
h7_list,9,9,"specialized care (dialysis, treatment for cancer, prosthetics, physiotherapy, etc"
h7_list,10,10,surgical services
h7_list,11,11,laboratory services
h7_list,12,12,blood bank services
h7_list,13,13,"radiological services (x-ray, ultrasound, ct-scan, etc"
h7_list,14,14,pharmacy services
h7_list,15,15,no services accessed
h7_list,16,16,i don’t know
h7_list,17,17,i don’t want to answer
h8_list,1,1,general services
h8_list,2,2,trauma care
h8_list,3,3,immunization services
h8_list,4,4,integrated management of child illnesses (imci)
h8_list,5,5,"communicable disease services (tuberculosis, malaria, dengue, cholera, etc"
h8_list,6,6,"non-communicable disease services (diabetes, high blood pressure, asthma, epilepsy, mental illness, etc"
h8_list,7,7,mental health services
h8_list,8,8,"reproductive health services (antenatal, deliveries, family planning, post-natal, etc"
h8_list,9,9,"specialized care (dialysis, treatment for cancer, prosthetics, physiotherapy, etc"
h8_list,10,10,surgical services
h8_list,11,11,laboratory services
h8_list,12,12,blood bank services
h8_list,13,13,"radiological services (x-ray, ultrasound, ct-scan, etc"
h8_list,14,14,pharmacy services
h8_list,15,15,all services accessible/available”
h8_list,16,16,i don’t know
h8_list,17,17,i don’t want to answer
h9_list,1,1,yes_migrants
h9_list,2,2,no_migrants
h9_list,3,3,i do not know_migrants
h9_list,4,4,i do not want to answer_migrants
h11_list,1,1,yes
h11_list,2,2,no
h11_list,3,3,i do not know
h11_list,4,4,i do not want to answer
h12_list,1,1,no transportation available
h12_list,2,2,high transportation cost to health facilities
h12_list,3,3,health facilities are not accessible for people with special needs (difficulty moving/seeing/hearing)
h12_list,4,4,health facilities do not open all working days of the week
h12_list,5,5,health facilities are not safe/risk of attack
h12_list,6,6,health facilities are not accessible because of security situation on the journey/ roads not accessible
h12_list,7,7,health facility is too far to be accessed
h12_list,8,8,"other, please specify"
h13_list,1,1,price of consultation/treatment (too expensive)
h13_list,2,2,required types of service not available
h13_list,3,3,the waiting time was too long
h13_list,4,4,absence of health workers
h13_list,5,5,lack of specialized medical and surgical staff
h13_list,6,6,lack of female health care providers
h13_list,7,7,lack of trust health care providers
h13_list,8,8,lack of privacy
h13_list,9,9,lack of available medicines
h13_list,10,10,medicine is not available in the health facility or in the market
h13_list,11,11,"lack of space to receive patients (insufficient treatment facilities, beds, rooms, etc"
h13_list,12,12,"other, please specify"
h13_list,13,13,none (we do not have any serious problems)
h13_list,14,14,i don’t know
h13_list,15,15,i don’t want to answer
h14_list,1,1,not treating illness
h14_list,2,2,using traditional medicine
h14_list,3,3,home remedies
h14_list,4,4,use pre-existing savings
h14_list,5,5,reduction of spending on food
h14_list,6,6,removal of children from school
h14_list,7,7,reliance on social support
h14_list,8,8,selling of assets
h14_list,9,9,borrowing
h14_list,10,10,none
h14_list,11,11,i don’t know
h14_list,12,12,i don’t want to answer
h15_list,1,1,specialized training for careers of household members with special needs
h15_list,2,2,provision of housing appropriate for people with special needs
h15_list,3,3,"provision of devices/items to support special needs (hearing aid, glasses, wheelchair, crutches, etc)"
h15_list,4,4,none
h15_list,5,5,i don’t know
h17_list,1,1,at home alone
h17_list,2,2,at home with non-professional care (unqualified or traditional mid-wife)
h17_list,3,3,in health facility
h17_list,4,4,"at home with professional care (skilled/trained female mid-wife, female doctor)"
h19_list,1,1,no female medical staff at nearest health facility_nondisplaced
h19_list,2,2,female midwives are not available in nearest health facility_nondisplaced
h19_list,3,3,gynecologists are not available at the nearest hospital_nondisplaced
h19_list,4,4,no separate waiting space for women/girls in nearest health facility_nondisplaced
h19_list,5,5,women/girls face uncomfortable environment/mistreatment at health facilities_nondisplaced
h19_list,6,6,lack of privacy in the health facility_nondisplaced
h19_list,7,7,it is unsafe for women/girls to travel to the nearest health facility_nondisplaced
h19_list,8,8,lack of companion to travel to health facilities with_nondisplaced
h19_list,9,9,women/girls do not have necessary money to pay for health services/transport to health facility_nondisplaced
h19_list,10,10,treatment requires approval from the head of household_nondisplaced
h19_list,11,11,discrimination based on displacement status_nondisplaced
h19_list,12,12,medicines needed are not available_nondisplaced
h19_list,13,13,health facilities are overcrowded_nondisplaced
h19_list,14,14,no (no issues in accessing health services/facilities)_nondisplaced
h19_list,15,15,i don’t know_nondisplaced
h19_list,16,16,i don’t want to answer_nondisplaced
i1_list,1,1,yes
i1_list,2,2,no
i1_list,3,3,i don’t know
i1_list,4,4,i don’t want to answer
i2_list,1,1,"abuse resulting from war (injuries, wounds etc)"
i2_list,2,2,gender-based abuse
i2_list,3,3,exploitation
i2_list,4,4,i don’t know
i2_list,5,5,i don’t want to answer
i3_list,1,1,family_nondisplaced
i3_list,2,2,friends_nondisplaced
i3_list,3,3,mosques_nondisplaced
i3_list,4,4,hospitals/ health centers_nondisplaced
i3_list,5,5,female-led community organization_nondisplaced
i3_list,6,6,community-organization_nondisplaced
i3_list,7,7,local authorities_nondisplaced
i3_list,8,8,police_nondisplaced
i3_list,9,9,community leader_nondisplaced
i3_list,10,10,i don’t know_nondisplaced
i3_list,11,11,i don’t want to answer_nondisplaced
i3_list,1,1,family_idps
i3_list,2,2,friends_idps
i3_list,3,3,mosques_idps
i3_list,4,4,hospitals/ health centers_idps
i3_list,5,5,female-led community organization_idps
i3_list,6,6,community-organization_idps
i3_list,7,7,local authorities_idps
i3_list,8,8,police_idps
i3_list,9,9,community leader_idps
i3_list,10,10,i don’t know_idps
i3_list,11,11,i don’t want to answer_idps
i3_list,1,1,family_returnees
i3_list,2,2,friends_returnees
i3_list,3,3,mosques_returnees
i3_list,4,4,hospitals/ health centers_returnees
i3_list,5,5,female-led community organization_returnees
i3_list,6,6,community-organization_returnees
i3_list,7,7,local authorities_returnees
i3_list,8,8,police_returnees
i3_list,9,9,community leader_returnees
i3_list,10,10,i don’t know_returnees
i3_list,11,11,i don’t want to answer_returnees
i3_list,1,1,family_refugees
i3_list,2,2,friends_refugees
